Date,Ticker,Close
2025-05-02,SPY,563.53
2025-05-05,SPY,560.3
2025-05-06,SPY,555.61
2025-05-07,SPY,557.95
2025-05-08,SPY,561.84
2025-05-09,SPY,561.12
2025-05-12,SPY,579.66
2025-05-13,SPY,583.49
2025-05-14,SPY,584.24
2025-05-15,SPY,587.09
2025-05-16,SPY,590.81
2025-05-19,SPY,591.46
2025-05-20,SPY,589.47
2025-05-21,SPY,579.54
2025-05-22,SPY,579.76
2025-05-23,SPY,575.81
2025-05-27,SPY,587.78
2025-05-28,SPY,584.38
2025-05-29,SPY,586.68
2025-05-30,SPY,586.03
2025-06-02,SPY,589.33
2025-06-03,SPY,592.69
2025-06-04,SPY,592.53
2025-06-05,SPY,589.67
2025-06-06,SPY,595.72
2025-06-09,SPY,596.26
2025-06-10,SPY,599.64
2025-06-11,SPY,597.93
2025-06-12,SPY,600.31
2025-06-13,SPY,593.59
2025-06-16,SPY,599.24
2025-06-17,SPY,594.12
2025-06-18,SPY,594.03
2025-06-20,SPY,592.64
2025-06-23,SPY,598.49
2025-06-24,SPY,605.1
2025-06-25,SPY,605.44
2025-06-26,SPY,610.18
2025-06-27,SPY,613.21
2025-06-30,SPY,616.14
2025-07-01,SPY,615.94
2025-07-02,SPY,618.73
2025-07-03,SPY,623.61
2025-07-07,SPY,618.96
2025-07-08,SPY,618.62
2025-07-09,SPY,622.33
2025-07-10,SPY,624.09
2025-07-11,SPY,621.9
2025-07-14,SPY,623.08
2025-07-15,SPY,620.42
2025-07-16,SPY,622.49
2025-07-17,SPY,626.3
2025-07-18,SPY,625.84
2025-07-21,SPY,627.03
2025-07-22,SPY,627.12
2025-07-23,SPY,632.46
2025-07-24,SPY,632.67
2025-07-25,SPY,635.34
2025-07-28,SPY,635.18
2025-07-29,SPY,633.5
2025-07-30,SPY,632.71
2025-07-31,SPY,630.33
2025-08-01,SPY,620.0
2025-08-04,SPY,629.42
2025-08-05,SPY,626.23
2025-08-06,SPY,631.03
2025-08-07,SPY,630.5
2025-08-08,SPY,635.42
2025-08-11,SPY,634.16
2025-08-12,SPY,640.91
2025-08-13,SPY,643.11
2025-08-14,SPY,643.17
2025-08-15,SPY,641.66
2025-08-18,SPY,641.52
2025-08-19,SPY,638.04
2025-08-20,SPY,636.35
2025-08-21,SPY,633.79
2025-08-22,SPY,643.53
2025-08-25,SPY,640.69
2025-08-26,SPY,643.38
2025-08-27,SPY,644.84
2025-08-28,SPY,647.13
2025-08-29,SPY,643.27
2025-09-02,SPY,638.5
2025-09-03,SPY,641.96
2025-09-04,SPY,647.33
2025-09-05,SPY,645.45
2025-09-08,SPY,647.04
2025-09-09,SPY,648.53
2025-09-10,SPY,650.41
2025-09-11,SPY,655.81
2025-09-12,SPY,655.59
2025-09-15,SPY,659.08
2025-09-16,SPY,658.18
2025-09-17,SPY,657.36
2025-09-18,SPY,660.43
2025-09-19,SPY,663.7
2025-09-22,SPY,666.84
2025-09-23,SPY,663.21
2025-09-24,SPY,661.1
2025-09-25,SPY,658.05
2025-09-26,SPY,661.82
2025-09-29,SPY,663.68
2025-09-30,SPY,666.18
2025-10-01,SPY,668.45
2025-10-02,SPY,669.22
2025-10-03,SPY,669.21
2025-10-06,SPY,671.61
2025-10-07,SPY,669.12
2025-10-08,SPY,673.11
2025-10-09,SPY,671.16
2025-10-10,SPY,653.02
2025-10-13,SPY,663.04
2025-10-14,SPY,662.23
2025-10-15,SPY,665.17
2025-10-16,SPY,660.64
2025-10-17,SPY,664.39
2025-10-20,SPY,671.3
2025-10-21,SPY,671.29
2025-10-22,SPY,667.8
2025-10-23,SPY,671.76
2025-10-24,SPY,677.25
2025-10-27,SPY,685.24
2025-10-28,SPY,687.06
2025-10-29,SPY,688.45
2025-05-02,CHW,6.34
2025-05-05,CHW,6.35
2025-05-06,CHW,6.32
2025-05-07,CHW,6.27
